ASIN,Title,Description,Price,List_price,Image_URL
,Dark Sacred Night (A Ballard and Bosch Novel),,,$29.00,
,The Universe Has Your Back: Transform Fear to Faith,,,$16.99,
,The World Almanac and Book of Facts 2019,,,$14.99,
,Liar Liar (Harriet Blue),,,$28.00,
,Look Alive Twenty-Five: A Stephanie Plum Novel,,,$28.00,
,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,,,$38.00,
,Milkman: A Novel,,,$16.00,
,Wife Between Us,,,$16.99,
,"A Year of Positive Thinking: Daily Inspiration, Wisdom, and Courage",,,$17.99,
,The Dreamers: A Novel,,,$27.00,
,"Cocktail Codex: Fundamentals, Formulas, Evolutions",,,$40.00,
,Air Fryer Cookbook: 550 Easy-to-Remember and Quick-to-Make Air Fryer Recipes For Smart and Busy People,,,$10.99,
,"The Practice of Natural Movement: Reclaim Power, Health, and Freedom",,,$59.95,
,"Instant Pot Cookbook: 550 Delicious, Easy-to-Remember and Quick-to-Make Instant Pot Recipes for Beginners and Advanced Users (With Complete Beginner's Guide)",,,$12.99,
,The Hundred-Page Machine Learning Book,,,$45.00,
,"101 Handy Tech Tips for the iPhone: Updated, Simplified and Revised for iOS 12",,,$19.99,
,Beyond Blessed: God's Perfect Plan to Overcome All Financial Stress,,,$22.00,
,"Let's Go (So We Can Get Back): A Memoir of Recording and Discording with Wilco, Etc.",,,$28.00,
,Fault Lines: A History of the United States Since 1974,,,$28.95,
,Long Road to Mercy (An Atlee Pine Thriller),,,$29.00,
,"Dungeons & Dragons Waterdeep: Dungeon of the Mad Mage (Adventure Book, D&D Roleplaying Game) (D&D Adventure)",,,$49.95,
,"Do What Feels Good: Recipes, Remedies, and Routines to Treat Your Body Right",,,$29.99,
,"Cook90: The 30-Day Plan for Faster, Healthier, Happier Meals",,,$30.00,
,2019 Lippincott Pocket Drug Guide for Nurses,,,$19.99,
,The DASH Diet Mediterranean Solution: The Best Eating Plan to Control Your Weight and Improve Your Health for Life,,,$26.00,
,Evidence-Based Practice in Nursing & Healthcare: A Guide to Best Practice,,,$94.99,
,Positively Unstoppable: The Art of Owning It,,,$24.99,
,"Let's Go (So We Can Get Back): A Memoir of Recording and Discording with Wilco, Etc.",,,$28.00,
,Why Religion?: A Personal Story,,,$27.99,
,Once Upon a River: A Novel,,,$28.00,
,Red Dead Redemption 2: The Complete Official Guide Collector's Edition,,,$39.99,
,The Trump Tax Cut: Your Personal Guide to the New Tax Law,,,$19.99,
,The Bad Guys in Superbad (The Bad Guys #8),,,,
,Fundamentals of Nursing: The Art and Science of Person-Centered Care,,,$139.99,
,"Game Changers: What Leaders, Innovators, and Mavericks Do to Win at Life",,,$28.99,
,Liar Liar (Harriet Blue),,,$28.00,
,The Only Woman in the Room: A Novel,,,$25.99,
,Two Can Keep a Secret,,,$19.99,
,"The Hive Queen (Wings of Fire, Book 12)",,,$16.99,
,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay (Harry Potter),,,$24.99,
